~,st_data_export_quantity,st_data_export_probability
5c_tik,1,1
ado,1,0.75
adrenalin,2,0.7
aim_acro,1,1
akvatab,2,0.7
analgetic,2,0.7
antibio_chlor,2,0.7
antibio_sulfad,2,0.7
antiemetic,2,0.7
antirad,2,0.7
antirad_cystamine,2,0.7
antirad_kalium,2,0.7
armor_repair_fa,3,1
ball_hammer,3,1
bandage,3,0.7
bossxe,1,1
bravo4,1,1
c79,1,1
caffeine,2,0.7
cleaning_kit_p,3,1
cleaning_kit_r5,3,1
cleaning_kit_r7,3,1
cleaning_kit_s,3,1
cocaine,2,0.7
devo,1,0.75
drug_anabiotic,2,0.7
drug_antidot,2,0.7
drug_booster,2,0.7
drug_coagulant,2,0.7
drug_psy_blockade,2,0.7
drug_radioprotector,2,0.7
drug_sleepingpills,2,0.7
duct_tape,3,1
e0t2_magd,1,0.75
echo1,1,0.2
exps3,1,1
gee36,1,1
glucose,2,0.7
glucose_s,2,0.7
glue_a,3,1
glue_b,3,1
glue_e,3,1
grease,3,1
grooming,6,1
gun_oil,3,1
gun_oil_ru,3,1
gun_oil_ru_d,3,1
hamr,1,1
hco,1,1
he510,1,1
heavy_repair_kit,2,1
heavy_sewing_thread,6,1
helmet_repair_kit,2,1
infiltrator_tactical_kit,1,0.85
jgut,2,0.7
kerosene,1,1
kit_hunt,1,1
lco1,1,1
leatherman_tool,2,1
light_repair_kit,2,1
magnifier,1,0.9
march_f_shorty,1,0.75
march_f_shorty_alt,1,0.70
mauser_kit,1,1
medium_repair_kit,2,1
medkit,2,0.7
medkit_ai1,1,0.7
medkit_army,1,0.7
monstrum,1,1
morphine,2,0.7
protein,2,0.7
ramrod_tool,3,1
rasp_tool,3,1
razorhd,1,0.70
recipe_advanced_1,1,1
recipe_advanced_2,1,1
recipe_advanced_3,1,1
recipe_basic_1,1,1
recipe_basic_2,1,1
recipe_basic_3,1,1
recipe_expert_1,1,1
recipe_expert_2,1,1
recipe_expert_3,1,1
romeo4,1,1
romeo8,1,1
salicidic_acid,2,0.7
sewing_kit_a,3,1
sewing_kit_b,3,1
sewing_kit_h,3,1
sewing_thread,12,1
sharpening_stones,3,1
side,1,1
skeet,1,0.3
solvent,3,1
spectre_tactical_kit,1,0.85
steel_wool,7,1
stimpack,2,0.7
swiss_knife,4,1
t12,1,0.15
tac30,1,0.75
tetanus,2,0.7
toolkit_p,2,1
toolkit_r5,2,1
toolkit_r7,1,1
toolkit_s,2,1
trihawk,1,1
uh1_magd,1,0.75
uh2,1,1
upgr_o_1_magical,1,0.30
upgr_o_1_physical,1,0.30
upgr_o_1_utility,1,0.30
upgr_o_2_magical,1,0.15
upgr_o_2_physical,1,0.15
upgr_o_2_utility,1,0.15
upgr_o_3_magical,1,0.05
upgr_o_3_physical,1,0.05
upgr_o_3_utility,1,0.05
upgr_w_1_external,1,0.35
upgr_w_1_internal,1,0.35
upgr_w_1_optical,1,0.35
upgr_w_2_external,1,0.20
upgr_w_2_internal,1,0.20
upgr_w_2_optical,1,0.20
upgr_w_3_external,1,0.05
upgr_w_3_internal,1,0.05
upgr_w_3_optical,1,0.05
vulcan,1,1
yadylin,2,0.7
