Translation Key,Translated Value
ammo-vog-25,Граната ВОГ-25
isg_scientific_outfit_description,"%c[ui_gray_1]Вариант «СЕВЫ», производимый одним из оборонных киевских НИИ по специальному заказу. Костюм имеет замкнутую систему дыхания и внешнее изоляционное покрытие, что обеспечивает лучшую защиту от радиации и аномальных воздействий по сравнению с другими вариантами «СЕВЫ». Тем не менее, имеющийся бронежилет не так хорош, а потому не сможет надлежащим образом защитить владельца в случае перестрелок.\n \n"
st_wpn_vz61_freedom,Skorpion vz.61 с камуфляжем «Свободы»
st_letter_to_outside_name,Письмо Натали
st_data_export_is_junk,Мусорный
st_hand_rolling_tobacco_descr,"Дорогой табак, завёрнутый в упаковку и завезённый с Запада. Без каких-либо дополнительных вредных добавок, так что можно наслаждаться оригинальным вкусом самого табачного листа.\n \n %c[ui_gray_3]ХАРАКТЕРИСТИКИ:\n %c[d_blue] • %c[ui_gray_2] стимулятор\n %c[d_red] • %c[ui_gray_2] медленное использование (самокрутка)\n %c[d_blue] • %c[ui_gray_2] сильное отрезвляющее действие\n %c[d_blue] • %c[ui_gray_2] высокое качество\n"
st_bolt_carrier_6,Скользящий затвор с болтовым запиранием
st_itm_advancedkit_name,Инструменты для тонкой работы
mutant_boar_chop_description,"Самое популярное мясо на территории Зоны отчуждения. Весьма питательное и не сильно загрязнённое. Учёные уже достаточно много провели исследований над принесёнными сталкерами образцами, поэтому спрос как таковой на такие куски мяса упал. Из куска мяса при нехитрых манипуляциях можно добыть немного животного жира, пригодного для смазки оружия.\n \n %c[d_red]ВНИМАНИЕ:\n \n%c[default]Сталкерам рекомендуется воздержаться от употребления такого рода мяса животных и мутантов в Зоне в сыром виде, так как оно наверняка заражено трихинеллёзом или бруцеллёзом. Эти заболевания передаются при употреблении заражённого мяса. Симптомы включают в себя лихорадку, усталость и потерю аппетита, что в суровых условиях Зоны весьма опасно. Абсцессы и странные опухоли на мясе дают понять, что оно заражено и следует его выбросить.\n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[d_green] • %c[ui_gray_2] мясо мутанта «низкого происхождения»\n %c[d_green] • %c[ui_gray_2] возможно приготовить\n %c[d_red] • %c[ui_gray_2] ядовитая пища\n"
st_data_export_ammo_types_alt,Альт. боеприпасы
