~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_toz34_obrez,st_wpn_toz34_obrez,st_wpn_toz34_obrez_descr,2.10,11860,B,N,52%,55%,180,1200,2,300,299,73%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_toz34_obrez_custom,st_wpn_toz34_obrez_custom,st_wpn_toz34_obrez_descr,2.10,12690,B,N,54%,55%,180,1200,2,300,299,71%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_protecta_custom,st_wpn_protecta_custom,st_wpn_protecta_descr,4.20,30650,B,N,58%,63%,180,168,12,300,319,78%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.78
wpn_spas12_custom,st_wpn_spas12_custom,st_wpn_spas12_descr,4.13,32580,B,N,70%,59%,189,130,8,300,339,77%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_toz34_obrez_decor,st_wpn_toz34_obrez_decor,st_wpn_toz34_obrez_descr,2.10,13880,B,N,57%,55%,180,1100,2,350,329,70%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_bm16_full,st_wpn_bm16_full,st_wpn_bm16_full_descr,3.40,15480,B,N,76%,57%,180,1000,2,200,299,77%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_wincheaster1300,st_wpn_toz194,st_wpn_toz194_descr,2.90,18580,B,N,62%,63%,189,70,7,300,339,71%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_spas12,st_wpn_spas12,st_wpn_spas12_descr,4.13,29390,B,N,67%,59%,189,115,8,300,339,78%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_vepr,st_wpn_vepr12,st_wpn_vepr12_descr,4.30,56980,B,N,67%,77%,180,240,12,300,324,81%,26,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.78
wpn_bm16,st_wpn_bm16,st_wpn_bm16_descr,1.92,10650,B,N,43%,67%,180,1000,2,200,299,75%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_protecta_nimble,st_wpn_protecta_nimble,st_wpn_protecta_nimble_descr,4.20,32680,B,N,57%,63%,180,191,12,300,319,78%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.78
wpn_usas12,st_wpn_usas12,st_wpn_usas12_descr,6.20,82660,B,N,63%,59%,180,360,20,300,324,80%,25,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.78
wpn_bm16_full_alt,st_wpn_bm16_full_alt,st_wpn_bm16_full_descr,3.40,18250,B,N,73%,57%,180,1000,2,200,299,80%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_toz34_custom,st_wpn_toz34_custom,st_wpn_toz34_descr,3.20,18680,B,N,71%,55%,189,1200,2,400,369,73%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,,0.05,,0.45,,0.8
wpn_bm16_alt,st_wpn_bm16_alt,st_wpn_bm16_descr,1.92,12850,B,N,46%,67%,180,1000,2,200,299,76%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_spas12_nimble,st_wpn_spas12_nimble,st_wpn_spas12_nimble_descr,4.13,34860,B,N,71%,59%,198,115,8,300,349,76%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.83
wpn_saiga12s,st_wpn_saiga12s,st_wpn_saiga12s_descr,3.81,38680,B,N,69%,77%,180,220,10,300,324,80%,25,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.78
wpn_mp153,st_wpn_mp153,st_wpn_mp153_descr,3.50,30580,B,N,66%,59%,189,200,8,300,369,76%,25,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.8
wpn_wincheaster1300_trapper,st_wpn_toz194,st_wpn_toz194_descr,2.90,21580,B,N,62%,63%,189,70,7,300,339,71%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_toz34_mark4,st_wpn_toz34_mark4,st_wpn_toz34_mark4_descr,3.20,36860,B,N,75%,55%,189,800,2,400,389,69%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,,0.05,,0.45,,0.82
wpn_toz34_bull,st_wpn_toz34_bull,st_wpn_toz34_bull_descr,3.90,25150,B,N,79%,55%,166,200,2,500,315,75%,0,ammo-12x76-bull,,,,,0.4,,1
