~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_p90,st_wpn_p90,st_wpn_p90_descr,2.78,41880,A,N,76%,84%,22,900,50,800,756,90%,81,ammo-5.7x28-ss190;ammo-5.7x28-ss190;ammo-5.7x28-ss190;ammo-5.7x28-ss195;ammo-5.7x28-ss195;ammo-5.7x28-ss195,,,,0.18,0.4,,0.46
wpn_vz61,st_wpn_vz61,st_wpn_vz61_descr,1.44,15680,A,N,57%,84%,20,850,20,400,485,88%,86,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,,0.09,0.19,0.38,,0.46
wpn_mp5,st_wpn_mp5,st_wpn_mp5_descr,3.10,26380,A,N,62%,84%,20,800,30,400,527,90%,92,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_ump45_custom,st_wpn_ump45_custom,st_wpn_ump45_descr,2.48,33880,A,N,67%,84%,26,640,25,300,358,92%,59,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,,,0.18,,,0.56
wpn_ump45,st_wpn_ump45,st_wpn_ump45_descr,2.48,31980,A,N,63%,84%,26,600,25,300,358,90%,59,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,,,0.18,,,0.56
wpn_mp5sd_custom,st_wpn_mp5sd_custom,st_wpn_mp5sd_descr,2.97,24560,A,N,69%,84%,20,835,30,400,527,93%,94,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_mp5_alt,st_wpn_mp5_alt,st_wpn_mp5_descr,3.10,22350,A,N,70%,84%,20,813,30,400,527,91%,92,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_mp5_nimble,st_wpn_mp5_nimble,st_wpn_mp5_nimble_descr,3,72950,A,N,70%,84%,26,700,30,400,372,91%,83,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,,,0.18,,,0.56
wpn_vz61_alt,st_wpn_vz61_alt,st_wpn_vz61_descr,1.44,13960,A,N,56%,84%,18,865,20,400,420,87%,94,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,,,0.17,0.31,,0.46
wpn_mp5sd_new,st_wpn_mp5sd_new,st_wpn_mp5sd_descr,2.97,22650,A,N,67%,84%,20,820,30,400,527,91%,94,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
