~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,ui_st_rank,st_data_export_jump_height,st_data_export_is_junk,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_monolith,st_af_monolith_name,st_af_monolith_descr,1.75,129850,5,0,0.5,N,-3.83%,-5.97%,7.41%,57.30%,88.16%,30.84%,14.83%,-7.28%,-6.63%,0,0,0,0,0%,0
af_generator,st_af_generator_name,st_af_generator_descr,2.07,20700,2,1,0.05,Y,-1.97%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,37%,0
af_sandstone,st_af_sandstone_name,st_af_sandstone_descr,0.82,19800,4,1,0.05,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,4.95,-1.41,5%,0
af_dummy_dummy,st_af_dummy_dummy_name,st_af_dummy_dummy_descr,0.37,37200,3,2,0,N,7.37%,-2.72%,0%,0%,-25.24%,0%,5.26%,0%,0%,0,0,0,11.75,64%,0
af_sponge,st_af_sponge_name,st_af_sponge_descr,1.25,30320,3,2,0.6,N,0%,0%,0%,11.11%,16.48%,0%,0%,0%,20.28%,0,0,0,11.75,0%,0
af_spaika,st_af_spaika_name,st_af_spaika_descr,1.19,19200,3,1,0.05,Y,1.97%,3.51%,0%,0%,0%,0%,0%,2.68%,4.19%,0,0,0,0,-16%,0
af_mincer_meat,st_af_mincer_meat_name,st_af_mincer_meat_descr,1.24,31300,2,1,0.01,N,0%,0%,0%,8.22%,16.72%,0%,2.41%,0%,0%,0,0,0,6.11,0%,5730
af_eye,st_af_eye_name,st_af_eye_descr,1.82,36900,3,2,0.05,N,0%,12.29%,0%,-8.82%,0%,0%,1.20%,0%,0%,0,0,47.55,11.75,0%,0
af_star_phantom,st_af_star_phantom_name,st_af_star_phantom_descr,1.29,19000,4,1,0.2,Y,-4.05%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,21.75,0,26%,0
af_ice,st_af_ice_name,st_af_ice_descr,0.54,51400,4,3,0,N,9.28%,0%,0%,0%,-37.87%,0%,4.52%,0%,0%,0,0,0,22.09,84%,0
af_empty,st_af_empty_name,st_af_empty_descr,3.09,42760,3,2,0,N,7.09%,11.58%,0%,0%,0%,0%,-5.11%,13.91%,12.09%,0,0,0,11.75,-19%,0
