~,st_ui_dbg_spawn_type,pda_encyclopedia_name,army,bandit,csky,dolg,ecolog,freedom,greh,isg,killer,monolith,renegade,stalker,zombied
wpn_g36k,st_data_export_weapon_kind_rifle,st_wpn_g36k,,,"st_rank_experienced, st_rank_professional",,"st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_master, st_rank_legend",
wpn_vz61,st_data_export_weapon_kind_smg,st_wpn_vz61,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee",,"st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_any, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_ak74m_duty,st_data_export_weapon_kind_rifle,st_wpn_ak74m_duty,,,,"st_rank_master, st_rank_legend",,,,,,,,,
wpn_desert_eagle,st_data_export_weapon_kind_pistol,st_wpn_desert_eagle,,"st_rank_master, st_rank_legend",,,,,"st_rank_veteran, st_rank_expert, st_rank_master","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_rg6, st_rank_sniper, st_rank_gauss","st_rank_master, st_rank_legend",,
wpn_m79,st_data_export_weapon_kind_explosive,st_wpn_m79,,,,,,,st_rank_master,,,,,,
wpn_spas12,st_data_export_weapon_kind_shotgun,st_wpn_spas12,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert","st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_master, st_rank_legend",st_rank_any
wpn_l96a1,st_data_export_weapon_kind_sniper,st_wpn_l96a1,,,,,,"st_rank_experienced, st_rank_professional",st_rank_master,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master, st_rank_rg6, st_rank_sniper",,,
wpn_ppsh41,st_data_export_weapon_kind_rifle,st_wpn_ppsh41,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced",st_rank_any
wpn_ak105,st_data_export_weapon_kind_rifle,st_wpn_ak105,"st_rank_experienced, st_rank_professional","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_professional, st_rank_expert",,"st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",
wpn_svt40_modern,st_data_export_weapon_kind_sniper,st_wpn_svt40_modern,,,,"st_rank_master, st_rank_legend",st_rank_expert,,,,,,,"st_rank_expert, st_rank_master, st_rank_legend",
