~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
dolg_pantsir_outfit,dolg,dolg_pantsir_outfit_name,dolg_pantsir_outfit_description,12.22,58350,M,97%,71%,47%,49%,20%,17%,159%,16%,0%,50%,31%,1,2,24,101%
specops_outfit,army,specops_outfit_name,specops_outfit_description,6.78,38500,M,96%,71%,35%,33%,12%,10%,90%,8%,0%,28%,27%,1,2,15,102%
isg_outfit,isg,isg_outfit_name,isg_outfit_description,5.09,44920,M,86%,59%,36%,34%,17%,21%,90%,12%,0%,28%,20%,2,4,26,103%
ecolog_outfit_green,ecolog,st_ecologist_outfit_grn_name,st_ecologist_outfit_grn_description,2.72,22980,M,31%,100%,23%,22%,66%,88%,264%,70%,22%,20%,12%,3,5,14,102%
military_bandit_outfit,bandit,military_bandit_outfit_name,military_outfit_description,8.22,49350,M,95%,71%,47%,39%,21%,22%,159%,16%,0%,36%,31%,2,3,28,102%
merc_scientific_armored_outfit,killer,merc_scientific_armored_outfit_name,merc_scientific_armored_outfit_description,5.69,59340,M,79%,96%,53%,29%,27%,40%,129%,36%,16%,22%,7%,2,4,20,102%
light_freedom_outfit,freedom,light_freedom_outfit_name,light_freedom_outfit_description,6.12,48830,M,92%,71%,45%,33%,11%,11%,59%,11%,6%,33%,25%,2,4,25,103%
nbc_dolg_outfit,dolg,nbc_dolg_outfit_name,nbc_dolg_outfit_description,9.24,36580,M,74%,62%,39%,35%,20%,27%,109%,36%,0%,30%,22%,1,1,15,103%
greh_ps5_outfit,greh,greh_ps5_outfit_name,greh_ps5_outfit_description,10.64,42500,M,80%,62%,36%,34%,5%,5%,59%,8%,0%,25%,22%,1,1,18,103%
cs_nbc_outfit,csky,cs_nbc_outfit_name,cs_nbc_outfit_description,8.94,36810,M,74%,62%,36%,31%,27%,34%,138%,47%,0%,27%,20%,1,2,15,103%
bandit_sun_outfit,bandit,bandit_sun_outfit_name,bandit_sun_outfit_description,6.79,19920,M,55%,62%,23%,29%,9%,8%,37%,5%,0%,24%,18%,2,4,22,103%
cs_medium_outfit,csky,csky_medium_outfit_name,csky_medium_outfit_description,8.14,47500,M,85%,59%,36%,33%,31%,30%,129%,15%,0%,34%,17%,1,1,20,103%
svoboda_heavy_outfit_2,freedom,svoboda_heavy_outfit_2_name,svoboda_heavy_outfit_2_description,6.64,34500,M,80%,59%,33%,30%,14%,17%,75%,11%,0%,28%,17%,2,2,22,103%
bandit_scientific_dark_outfit,bandit,bandit_scientific_dark_outfit_name,bandit_scientific_dark_outfit_description,3.86,52130,M,79%,96%,53%,27%,21%,27%,119%,36%,16%,22%,7%,2,4,24,102%
light_loner_outfit,stalker,light_loner_outfit_name,light_loner_outfit_description,6.52,47830,M,92%,71%,45%,35%,12%,12%,59%,12%,3%,33%,24%,2,4,22,102%
stalker_autumn_outfit,stalker,stalker_autumn_outfit_name,stalker_autumn_outfit_description,8.15,25220,M,55%,62%,26%,31%,12%,23%,70%,8%,0%,26%,18%,1,2,15,103%
specops_merc_outfit,killer,specops_merc_outfit_name,specops_merc_outfit_description,7.88,42700,M,96%,71%,39%,28%,31%,23%,129%,9%,0%,25%,20%,1,3,18,102%
dolg_heavy_redline_outfit,dolg,dolg_heavy_redline_outfit_name,dolg_heavy_redline_outfit_description,10.72,57350,M,97%,71%,53%,42%,31%,22%,159%,18%,0%,47%,27%,1,2,24,101%
ecolog_outfit_white,ecolog,st_ecologist_outfit_white_name,st_ecologist_outfit_white_description,2.85,23730,M,31%,100%,23%,23%,67%,89%,282%,73%,31%,21%,13%,3,5,14,102%
monolith_scientific_light_outfit,monolith,monolith_scientific_light_outfit_name,monolith_scientific_light_outfit_description,5.40,51750,M,79%,96%,50%,30%,31%,44%,170%,67%,16%,23%,17%,3,5,18,105%
travel_outfit,stalker,travel_outfit_name,travel_outfit_description,5.88,37290,M,55%,62%,23%,28%,9%,8%,61%,7%,5%,23%,14%,1,1,50,103%
stalker_salamander_outfit,stalker,stalker_salamander_outfit_name,stalker_salamander_outfit_description,6.57,23230,M,55%,62%,29%,27%,9%,8%,37%,5%,0%,23%,17%,1,2,18,104%
greh_armored_outfit,greh,greh_armored_outfit_name,greh_armored_outfit_description,8.84,37700,M,80%,62%,36%,29%,5%,5%,59%,8%,0%,34%,27%,1,2,18,103%
merc_nighthunter_outfit,killer,merc_nighthunter_outfit_name,merc_nighthunter_outfit_description,9.27,45100,M,86%,59%,43%,32%,11%,10%,59%,11%,0%,31%,23%,1,2,20,100%
ecolog_outfit_orange,ecolog,st_ecologist_outfit_orange_name,st_ecologist_outfit_orange_description,2.50,21500,M,31%,100%,23%,19%,60%,81%,239%,61%,22%,15%,11%,3,5,14,102%
cs_heavy_outfit,csky,csky_heavy_outfit_name,csky_heavy_outfit_description,9.12,63330,M,94%,71%,45%,37%,31%,26%,170%,16%,3%,25%,28%,2,3,20,100%
military_sky_outfit,csky,military_sky_outfit_name,military_outfit_description,10.12,58350,M,97%,71%,47%,42%,40%,34%,209%,19%,0%,46%,26%,1,2,24,101%
stalker_tigerstripe_outfit,stalker,stalker_tigerstripe_outfit_name,stalker_tigerstripe_outfit_description,6.44,24110,M,55%,62%,23%,34%,9%,8%,37%,5%,0%,28%,20%,2,3,16,104%
stalker_outfit,stalker,stalker_outfit_name,stalker_outfit_description,6.20,22950,M,55%,62%,26%,31%,10%,11%,46%,4%,0%,26%,18%,2,3,15,103%
stalker_predator_outfit,stalker,stalker_predator_outfit_name,stalker_predator_outfit_description,8.37,31640,M,55%,62%,29%,34%,9%,8%,37%,5%,0%,28%,20%,1,2,15,101%
specops_dolg_outfit,dolg,specops_dolg_outfit_name,specops_dolg_outfit_description,7.43,41500,M,96%,71%,35%,43%,10%,7%,70%,6%,0%,34%,36%,1,1,15,102%
greh_armored_camo_outfit,greh,greh_armored_camo_outfit_name,greh_armored_camo_outfit_description,8.84,37400,M,80%,62%,36%,32%,5%,5%,59%,8%,0%,30%,18%,1,3,18,103%
ecolog_guard_outfit,ecolog,ecologist_guard_outfit_name,ecologist_guard_outfit_description,7.84,38300,M,80%,59%,33%,30%,25%,40%,109%,14%,0%,27%,18%,2,3,18,103%
dolg_specops_red_outfit,dolg,dolg_specops_red_outfit_name,dolg_specops_red_outfit_description,7.66,41500,M,96%,71%,39%,30%,10%,7%,70%,6%,0%,27%,24%,1,3,15,102%
renegade_scientific_outfit,renegade,renegade_scientific_outfit_name,renegade_scientific_outfit_description,5.62,51840,M,79%,96%,50%,27%,21%,27%,129%,36%,16%,22%,7%,2,4,20,98%
nbc_outfit,stalker,nbc_outfit_name,nbc_outfit_description,8.14,32200,M,74%,62%,39%,32%,21%,30%,119%,36%,0%,28%,20%,1,2,16,103%
wastelander_outfit,stalker,wastelander_outfit_name,wastelander_outfit_description,6.60,86350,M,96%,71%,46%,44%,40%,34%,239%,59%,18%,34%,18%,3,4,25,102%
svoboda_heavy_outfit,freedom,svoboda_heavy_outfit_name,svoboda_heavy_outfit_description,6.24,41200,M,96%,71%,35%,31%,10%,7%,54%,9%,0%,28%,27%,2,2,18,102%
isg_camo_outfit,isg,isg_merc_outfit_name,isg_merc_outfit_description,10.12,52830,M,86%,59%,43%,37%,14%,20%,90%,11%,0%,31%,24%,1,2,20,103%
bandit_scientific_outfit,bandit,bandit_scientific_outfit_name,bandit_scientific_outfit_description,4.21,51980,M,79%,96%,50%,32%,21%,27%,119%,36%,16%,20%,7%,1,3,25,102%
light_monolit_outfit,monolith,light_monolit_outfit_name,light_monolit_outfit_description,9.22,51830,M,92%,71%,45%,32%,28%,22%,140%,14%,13%,31%,27%,1,3,20,102%
