~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_zoom_factor,st_data_export_magnifications
0kp2,st_addon_scope_0kp2,st_addon_scope_0kp2_descr,0.20,5280,0,
1p29,st_addon_scope_1p29,st_addon_scope_1p29_descr,0.80,5960,15,
226sig_kit,st_addon_scope_226sig_kit,st_addon_scope_226sig_kit_descr,0.35,10000,,
23_up,st_addon_scope_23_up,st_addon_scope_23_up_descr,0.60,6000,,
ac10632,st_addon_scope_ac10632,st_addon_scope_ac10632_descr,0.12,2500,0,
acog,st_addon_scope_acog,st_addon_scope_acog_descr,0.35,4700,20,
aim_low,st_addon_scope_aim_low,st_addon_scope_aim_low_descr,0.10,2800,0,
aimpoint,st_addon_scope_aimpoint,st_addon_scope_aimpoint_descr,0.13,2800,0,
apsabigo,st_addon_scope_apsabigo,st_addon_scope_apsabigo_descr,0.26,8000,,
archangel,st_addon_scope_archangel,st_addon_scope_archangel_descr,2.20,24000,,
c-more,st_addon_scope_cmore,st_addon_scope_cmore_descr,0.30,2500,0,
compm4s,st_addon_scope_compm4s,st_addon_scope_compm4s_descr,0.38,2900,0,
d0cter,st_addon_scope_d0cter,st_addon_scope_d0cter_descr,0.03,2800,0,
deltapoint,st_addon_scope_deltapoint,st_addon_scope_deltapoint_descr,0.04,2500,0,
e0t2,st_addon_scope_e0t2,st_addon_scope_e0t2_descr,0.23,2800,0,
ekp8_18,st_addon_scope_ekp8_18,st_addon_scope_ekp8_18_descr,0.34,3100,0,
eot,st_addon_scope_eotech,st_addon_scope_eotech_descr,0.30,2800,0,
exps3,st_addon_scope_exps3,st_addon_scope_exps3_descr,0.32,2500,0,
gurza_up,st_addon_scope_gurza_up,st_addon_scope_gurza_up_descr,0.10,12000,,
he510,st_addon_scope_he510,st_addon_scope_he510_descr,0.26,2500,0,
kab_up,st_addon_scope_kab_up,st_addon_scope_kab_up_descr,1.10,16000,,
kashtan_rmr,st_addon_scope_kashtan_rmr,st_addon_scope_kashtan_rmr_descr,0.57,14200,,
kit_aus_tri,st_addon_scope_kit_aus_tri,st_addon_scope_kit_aus_tri_descr,0.56,18000,,
kit_fal_leup,st_addon_scope_kit_fal_leup,st_addon_scope_kit_fal_leup_descr,0.85,18000,,
kit_sa5x_spec,st_addon_scope_kit_sa5x_spec,st_addon_scope_kit_sa5x_spec_descr,0.85,18000,,
kobra,st_addon_scope_kobra,st_addon_scope_kobra_descr,0.40,2800,0,
kp_sr2,st_addon_scope_kp_sr2,st_addon_scope_kp_sr2_descr,0.23,2700,,
lapua700,st_addon_scope_lapua700,st_addon_scope_lapua700_descr,2.60,73000,,
lazup_pl15,st_addon_scope_lazup_pl15,st_addon_scope_lazup_pl15_descr,0.09,1800,,
magpul_pro,st_addon_scope_magpul_pro,st_addon_scope_magpul_pro_descr,1.72,24000,,
mod9,st_addon_scope_mod9,st_addon_scope_mod9_descr,0.26,8000,,
mod_x_gen3,st_addon_scope_mod_x_gen3,st_addon_scope_mod_x_gen3_descr,1.65,24000,,
mono_kit,st_addon_scope_mono_kit,st_addon_scope_mono_kit_descr,0.56,18000,,
none,,,0,0,,
okep77,st_addon_scope_okep77,st_addon_scope_okep77_descr,0.26,2500,,
pl15_scolaz,st_addon_scope_pl15_scolaz,st_addon_scope_pl15_scolaz_descr,0.13,12000,,
pn23fore,st_addon_scope_pn23fore,st_addon_scope_pn23fore_descr,0.63,4200,,
point_aimpro,st_addon_scope_aimpoint_pro,st_addon_scope_aimpoint_pro_descr,0.33,2800,0,
pritseldob,st_addon_scope_pritseldob,st_addon_scope_pritseldob_descr,0.68,14200,,
ps01,st_addon_scope,st_addon_scope_descr,0.62,4800,15,
rakurs,st_addon_scope_rakurs,st_addon_scope_rakurs_descr,0.50,2800,0,
rmr,st_addon_scope_rmr,st_addon_scope_rmr_descr,0.03,2800,0,
shakal,st_addon_scope_shakal,st_addon_scope_shakal_descr,1.30,18000,,
silen98,st_addon_scope_silen98,st_addon_scope_silen98_descr,0.10,1400,,
sr1upgr1,st_addon_scope_sr1upgr1,st_addon_scope_sr1upgr1_descr,0.45,10000,,
sr2_upkit,st_addon_scope_sr2_upkit,st_addon_scope_sr2_upkit_descr,0.50,14000,,
susatov,st_addon_scope_susatov,st_addon_scope_susatov_descr,0.42,4800,,
swamp,st_addon_scope_swamp,st_addon_scope_swamp_descr,1.60,18000,,
u2p2g0r,st_addon_scope_u2p2g0r,st_addon_scope_u2p2g0r_descr,0.26,17600,,
upg220,st_addon_scope_upg220,st_addon_scope_upg220_descr,0.26,10000,,
uptacppsh,st_addon_scope_uptacppsh,st_addon_scope_uptacppsh_descr,2.54,10000,,
wpn_addon_scope,st_addon_scope,st_addon_scope_descr,0.62,4800,24,
wpn_addon_scope_g43,st_addon_scope_zf4,st_addon_scope_zf4_descr,0.40,1590,24.8,
wpn_addon_scope_pu,st_addon_scope_pu,st_addon_scope_pu_descr,0.20,1250,17.4,
wpn_addon_scope_susat,st_addon_scope_galil_susat,st_addon_scope_galil_descr,0.58,2560,24,
wpn_addon_scope_sv98,,,0,0,,
