~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
pri_a17_gauss_rifle,st_wpn_umirotvoritel_bas,st_wpn_umirotvoritel_bas_descr,7.77,145860,N/A,N,99%,50%,916,30,10,2000,70000,99%,215,ammo-gauss;ammo-gauss;ammo-gauss,,,,,,5,5.5
wpn_dvl10,st_wpn_dvl10,st_wpn_dvl10_descr,6,81580,D,N,95%,65%,66,30,10,1200,1207,61%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1
wpn_dvl10_m1,st_wpn_dvl10_m1,st_wpn_dvl10_m1_descr,5.70,88580,D,N,95%,65%,56,30,10,600,280,61%,25,ammo_338_federal,,,,,,0.85,0.85
wpn_g28,st_wpn_g28,st_wpn_g28_descr,4,84200,D,N,84%,71%,66,700,20,1000,882,77%,32,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1
wpn_g43,st_wpn_g43,st_wpn_g43_descr,4.33,23980,D,N,90%,65%,54,130,10,1000,777,80%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,,,,,0.45,,0.81
wpn_gauss,st_wpn_gauss_bas,st_wpn_gauss_bas_descr,7.77,145860,N/A,N,99%,50%,166,30,10,1000,10500,63%,215,ammo-gauss;ammo-gauss;ammo-gauss,,,,,,5,1
wpn_gauss_quest,lttz_ll_wpn_gauss_quest_name,lttz_ll_wpn_gauss_quest_descr,7.77,145860,N/A,N,99%,50%,166,30,10,1000,10500,63%,0,ammo-gauss;ammo-gauss;ammo-gauss,,,,,,5,1
wpn_k98,st_wpn_k98,st_wpn_k98_descr,3.70,22590,D,N,91%,66%,76,37,5,1100,798,70%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap; ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,0.45,,1.15
wpn_k98_mod,st_wpn_k98_mod,st_wpn_k98_mod_descr,4.10,32590,D,N,95%,66%,76,30,5,1500,1312,70%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,,,,,0.45,,1.15
wpn_k98_mod_silen98,st_wpn_k98_mod_silen98,st_wpn_k98_mod_silen98_descr,4.20,32590,D,N,97%,66%,76,30,5,1500,1522,70%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,,,,,0.45,,1.15
