~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
trenchcoat_green_outfit,st_data_export_unknown,trenchcoat_green_outfit_name,trenchcoat_green_outfit_description,5.12,13770,L,15%,68%,21%,18%,5%,6%,14%,5%,5%,12%,6%,1,1,8,104%
merc_coyote_outfit,killer,merc_coyote_outfit_name,merc_coyote_outfit_description,4.95,20400,L,35%,28%,18%,28%,9%,4%,16%,3%,0%,20%,10%,2,3,12,104%
renegademerc_outfit,renegade,renegademerc_outfit_name,renegademerc_outfit_description,6.07,17800,L,35%,28%,21%,24%,8%,3%,12%,3%,0%,21%,12%,2,3,17,104%
isg_lcs_camo_outfit,isg,isg_lcs_camo_outfit_name,isg_lcs_camo_outfit_description,4.77,20970,L,41%,28%,21%,24%,10%,4%,16%,4%,0%,18%,12%,2,4,16,104%
novice_outfit_camo,st_data_export_unknown,novice_outfit_camo_name,novice_outfit_camo_description,3.01,8230,L,15%,0%,16%,22%,5%,3%,10%,0%,0%,15%,7%,1,1,15,106%
bandit_novice_outfit_alt,bandit,bandit_novice_alt_outfit_name,bandit_novice_alt_outfit_description,4.20,8840,L,15%,0%,20%,26%,4%,4%,11%,0%,0%,18%,12%,1,1,6,105%
merc_fighter_outfit,killer,merc_fighter_outfit_name,merc_fighter_outfit_description,5.37,19780,L,35%,28%,23%,25%,8%,4%,14%,3%,0%,20%,13%,2,4,12,104%
redline_novice_outfit,st_data_export_unknown,redline_novice_outfit_name,redline_novice_outfit_description,3.29,8900,L,15%,0%,16%,16%,7%,4%,19%,0%,0%,10%,5%,1,1,7,107%
merc_sunset_outfit,killer,merc_sunset_outfit_name,merc_sunset_outfit_description,4.76,19520,L,35%,28%,19%,21%,9%,4%,15%,3%,0%,20%,12%,2,3,12,104%
greh_trenchcoat_outfit,greh,greh_trenchcoat_outfit_name,greh_trenchcoat_outfit_description,6.39,13840,L,15%,68%,18%,24%,7%,7%,19%,5%,6%,17%,10%,1,1,8,104%
cs_light_outfit,csky,csky_light_outfit_name,csky_light_outfit_description,5.36,24680,L,41%,28%,21%,25%,14%,5%,20%,5%,0%,18%,14%,2,3,14,105%
novice_outfit,st_data_export_unknown,novice_outfit_name,novice_outfit_description,2.98,6200,L,15%,0%,16%,19%,5%,3%,10%,0%,0%,14%,7%,1,1,5,105%
isg_lcs_outfit,isg,isg_lcs_outfit_name,isg_lcs_outfit_description,4.25,17850,L,41%,28%,19%,22%,10%,4%,16%,3%,0%,18%,12%,2,3,14,104%
trenchcoat_dolg_brown_outfit,dolg,trenchcoat_dolg_brown_outfit_name,trenchcoat_brown_outfit_description,5.88,14120,L,15%,68%,18%,25%,6%,6%,10%,4%,0%,18%,10%,1,1,8,104%
merc_scout_outfit,killer,merc_scout_outfit_name,merc_scout_outfit_description,2.25,21270,L,35%,28%,19%,19%,9%,4%,16%,4%,0%,18%,10%,2,4,10,104%
trenchcoat_outfit,st_data_export_unknown,trenchcoat_outfit_name,trenchcoat_outfit_description,4.17,12660,L,15%,68%,18%,23%,7%,6%,15%,4%,5%,15%,9%,1,1,8,104%
ghillie_outfit,st_data_export_unknown,ghillie_outfit_name,ghillie_outfit_description,5.25,18300,L,35%,28%,19%,18%,5%,3%,11%,0%,1%,15%,8%,2,3,16,106%
cs_novice_outfit,csky,csky_novice_outfit_name,csky_novice_outfit_description,3.87,7680,L,15%,0%,16%,19%,8%,10%,26%,0%,0%,14%,7%,1,1,5,105%
trenchcoat_brown_outfit,st_data_export_unknown,trenchcoat_brown_outfit_name,trenchcoat_brown_outfit_description,5.08,13500,L,15%,68%,21%,18%,6%,4%,13%,4%,6%,12%,6%,1,1,8,104%
merc_jackal_outfit,killer,merc_jackal_outfit_name,merc_jackal_outfit_description,4.22,18840,L,35%,28%,19%,22%,8%,4%,14%,3%,0%,18%,12%,2,3,18,104%
merc_outfit,killer,merc_outfit_name,merc_outfit_description,4.88,15980,L,35%,28%,21%,22%,9%,4%,15%,3%,0%,18%,12%,2,3,12,104%
bandit_novice_outfit,bandit,bandit_novice_outfit_name,bandit_novice_outfit_description,3.09,6870,L,15%,0%,16%,18%,4%,3%,8%,0%,0%,12%,6%,1,1,10,105%
army_outfit,army,army_outfit_name,army_outfit_description,5.60,13340,L,41%,28%,23%,25%,5%,4%,11%,2%,0%,18%,13%,2,2,10,104%
dolg_novice_outfit,dolg,dolg_novice_outfit_name,dolg_novice_outfit_description,4.09,8150,L,15%,0%,16%,23%,5%,3%,8%,0%,0%,15%,7%,1,1,5,105%
cs_light_novice_outfit,csky,csky_light_novice_outfit_name,csky_light_novice_outfit_description,4.33,22760,L,41%,28%,19%,19%,13%,5%,19%,4%,0%,18%,11%,2,3,14,105%
novice_outfit_tourist,stalker,novice_outfit_tourist_name,novice_outfit_tourist_description,3.22,8220,L,15%,0%,16%,18%,5%,3%,13%,0%,0%,12%,6%,2,2,30,104%
monolith_trenchcoat_outfit,monolith,monolith_trenchcoat_outfit_name,trenchcoat_outfit_description,6.55,14190,L,15%,68%,21%,19%,8%,8%,20%,7%,6%,14%,7%,2,4,8,104%
isg_lcs_urban_outfit,isg,isg_lcs_urban_outfit_name,isg_lcs_urban_outfit_description,5.11,22900,L,41%,28%,23%,26%,10%,4%,16%,4%,0%,20%,12%,2,3,10,104%
trenchcoat_freedom_brown_outfit,freedom,trenchcoat_freedom_brown_outfit_name,trenchcoat_brown_outfit_description,4.26,13200,L,15%,68%,18%,19%,8%,8%,22%,6%,0%,14%,7%,1,3,11,104%
svoboda_novice_outfit,freedom,svoboda_novice_outfit_name,svoboda_novice_outfit_description,3.20,6065,L,15%,0%,16%,18%,9%,4%,11%,0%,0%,12%,6%,1,1,8,105%
banditmerc_outfit,bandit,banditmerc_outfit_name,banditmerc_outfit_description,4.03,14500,L,35%,28%,18%,21%,8%,4%,14%,3%,0%,15%,10%,3,4,22,104%
