~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection
helm_ach7,helm_ach7,helm_ach7_descr,3.27,19180,He,86%,90%,19%,1%,0%,0%,0%,1%,16%,0%,6%
helm_ach7ex,helm_ach7ex,helm_ach7ex_descr,3.89,24500,He,86%,90%,19%,2%,0%,1%,10%,33%,16%,0%,8%
helm_bandana,st_helm_bandana,st_helm_bandana_descr,0.10,320,L,28%,0%,0%,0%,1%,0%,12%,6%,0%,0%,0%
helm_battle,st_helm_battle,st_helm_battle_descr,4.87,38530,He,88%,75%,24%,4%,0%,0%,12%,47%,11%,0%,9%
helm_cloth_mask,st_helm_cloth_mask,st_helm_cloth_mask_descr,0.22,630,L,28%,0%,0%,0%,0%,0%,9%,4%,0%,0%,0%
helm_exo,st_helm_exo_name,st_helm_exo_descr,5.37,42730,He,90%,75%,31%,4%,3%,0%,12%,37%,9%,0%,10%
helm_hardhat,st_helm_hardhat,st_helm_hardhat_descr,2.67,14900,He,76%,73%,19%,1%,0%,0%,0%,1%,1%,0%,8%
helm_hardhat_snag,st_helm_hardhat,st_helm_hardhat_descr,2.67,22150,He,76%,73%,19%,1%,0%,0%,0%,1%,1%,0%,8%
helm_m40,st_helm_m40,st_helm_m40_descr,2.90,22290,He,64%,53%,3%,3%,0%,0%,18%,47%,4%,0%,5%
helm_m50,helm_m50,helm_m50_descr,2.18,28980,He,68%,74%,13%,1%,0%,0%,14%,66%,11%,0%,5%
helm_metro,st_helm_metro,st_helm_metro_descr,6.87,46820,He,86%,80%,33%,3%,5%,0%,22%,41%,8%,0%,11%
helm_ppm88,helm_ppm88,helm_ppm88_descr,2.25,25900,He,53%,73%,3%,1%,0%,0%,10%,57%,1%,0%,0%
helm_protective,st_helm_protective,st_helm_protective_descr,6,24800,He,41%,86%,13%,2%,1%,0%,33%,54%,9%,0%,0%
helm_ranger,helm_ranger,helm_ranger_descr,2.42,34020,He,68%,78%,13%,1%,10%,0%,14%,64%,20%,0%,6%
helm_resp,st_helm_resp,st_helm_resp_descr,1.10,5910,L,57%,9%,3%,0%,0%,0%,6%,15%,0%,0%,0%
helm_respirator,st_helm_respirator,st_helm_respirator_descr,1.18,8570,L,18%,3%,3%,1%,0%,0%,12%,20%,0%,0%,0%
helm_respirator_gp5,st_helm_respirator_gp5,st_helm_respirator_gp5_descr,1.50,14170,L,24%,3%,3%,1%,0%,0%,3%,37%,1%,0%,0%
helm_respirator_old,st_helm_respirator,st_helm_respirator_descr,2.28,9970,L,18%,3%,3%,1%,0%,0%,12%,24%,1%,0%,0%
helm_rp_bala,st_helm_rp_bala,st_helm_rp_bala_descr,0.21,770,L,28%,0%,0%,0%,1%,0%,12%,6%,0%,0%,0%
helm_spartan,helm_spartan,helm_spartan_descr,5.12,51800,He,91%,95%,36%,6%,14%,0%,26%,47%,9%,0%,13%
helm_tactic,st_helm_tactic,st_helm_tactic_descr,4.18,31420,He,86%,80%,24%,2%,0%,2%,16%,41%,8%,0%,8%
