~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_data_export_ammo_box_size,st_upgr_cost,BR1,BR2,BR3,BR4,BR5,st_data_export_projectiles,ui_inv_damage,ui_inv_accuracy,ui_inv_wrange,st_data_export_falloff,ui_inv_bspeed,st_data_export_impulse,st_data_export_weapon_degradation,st_data_export_k_hit,st_data_export_k_ap,st_data_export_k_air_resistance
ammo_11.43x23_fmj,ammo-11.43x23-fmj,ammo-11.43x23-fmj_descr,0.29,14,400,,,0.18,,,1,0.7,66%,100%,70%,187%,55%,40%,0.7,0.18,0.7
ammo_11.43x23_hydro,ammo-11.43x23-hydro,ammo-11.43x23-hydro_descr,0.23,14,650,,,0.13,,,1,2,66%,100%,70%,187%,70%,40%,2,0.13,0.7
ammo_12.7x55_ap,ammo_12.7x55_ap,ammo_12.7x55_ap_descr,0.85,10,2800,,,,,0.8,1,1.35,66%,100%,50%,100%,280%,40%,1.35,0.8,0.5
ammo_12.7x55_fmj,ammo-12.7x55-fmj,ammo-12.7x55-fmj_descr,0.75,10,2000,,,,0.45,,1,1.35,66%,100%,50%,100%,280%,40%,1.35,0.45,0.5
ammo_12x70_buck,ammo-12x70-buck,ammo-12x70-buck_descr,0.45,10,750,,0.038,,,,9,0.4,459%,75%,220%,142%,80%,40%,0.4,0.038,2.2
ammo_12x70_buck_self,ammo-12x70-buck_self,ammo-12x70-buck_self_descr,0.52,10,460,,0.038,,,,11,0.3,500%,70%,200%,142%,25%,100%,0.3,0.038,2
ammo_12x70_raid,ammo-12x70-raid,ammo-12x70-raid_descr,0.45,15,50000,,0.05,,,,9,0.4,459%,75%,200%,100%,233%,40%,0.4,0.05,2
ammo_12x76_bull,ammo-12x76-bull,ammo-12x76-bull_descr,0.60,10,1100,,,,0.4,,1,2.5,50%,100%,100%,100%,100%,40%,2.5,0.4,1
ammo_12x76_dart,ammo-12x76-dart,ammo-12x76-dart_descr,0.40,10,2150,,,,0.45,,1,1.4,33%,100%,60%,127%,420%,105%,1.4,0.45,0.6
ammo_12x76_zhekan,ammo-12x76-zhekan,ammo-12x76-zhekan_descr,0.45,10,950,,,,0.21,,1,1.8,50%,90%,60%,127%,190%,105%,1.8,0.21,0.6
ammo_20x70_buck,ammo_20x70_buck,ammo_20x70_buck_descr,0.35,10,450,,0.04,,,,9,0.42,459%,75%,220%,100%,50%,105%,0.42,0.04,2.2
ammo_23_eco,ammo_23_eco,ammo_23_eco_descr,0.05,1,3500,,,0.12,,,1,1,50%,100%,15%,100%,15%,40%,1,0.12,0.15
ammo_23x75_barrikada,ammo_23x75_barrikada,ammo_23x75_barrikada_descr,0.50,10,1450,,,,0.33,,1,4.2,66%,100%,85%,135%,370%,105%,4.2,0.33,0.85
ammo_23x75_shrapnel,ammo_23x75_shrapnel,ammo_23x75_shrapnel_descr,0.45,10,1300,,0.07,,,,6,12.4,450%,80%,90%,100%,320%,105%,12.4,0.07,0.9
ammo_338_federal,ammo_338_federal,ammo_338_federal_descr,0.42,10,4100,,,,,0.85,1,1,67%,100%,5%,100%,140%,40%,1,0.85,0.05
ammo_357_hp_mag,ammo-357-hp,ammo-357-hp_descr,0.21,13,900,,,,0.3,,1,1.2,50%,100%,80%,150%,75%,40%,1.2,0.3,0.8
ammo_4.6x30_fmj,ammo-4.6x30-fmj,ammo-4.6x30-fmj_descr,0.09,15,700,,,,0.35,,1,0.9,66%,100%,80%,100%,36%,40%,0.9,0.35,0.8
ammo_5.45x39_ap,ammo-5.45x39-ap,ammo-5.45x39-ap_descr,0.16,15,1750,,,,0.47,,1,1.1,66%,100%,30%,150%,55%,40%,1.1,0.47,0.3
ammo_5.45x39_ep,ammo-5.45x39-ep,ammo-5.45x39-ep_descr,0.16,15,1050,,,0.15,,,1,1.6,66%,100%,30%,150%,55%,40%,1.6,0.15,0.3
ammo_5.45x39_fmj,ammo-5.45x39-fmj,ammo-5.45x39-fmj_descr,0.16,15,800,,,,0.25,,1,1.1,66%,100%,30%,150%,60%,40%,1.1,0.25,0.3
ammo_5.56x45_ap,ammo-5.56x45-ap,ammo-5.56x45-ap_descr,0.18,15,1750,,,,,0.52,1,0.9,66%,100%,20%,160%,54%,40%,0.9,0.52,0.2
ammo_5.56x45_fmj,ammo-5.56x45-fmj,ammo-5.56x45-fmj_descr,0.17,15,800,,,,0.27,,1,0.9,66%,100%,20%,160%,57%,40%,0.9,0.27,0.2
ammo_5.56x45_ss190,ammo-5.56x45-ss190,ammo-5.56x45-ss190_descr,0.18,15,1050,,,0.15,,,1,1.45,66%,100%,20%,160%,57%,40%,1.45,0.15,0.2
ammo_5.7x28_ss190,ammo-5.7x28-ss190,ammo-5.7x28-ss190_descr,0.09,15,650,,,,0.4,,1,0.74,66%,100%,30%,150%,36%,40%,0.74,0.4,0.3
ammo_5.7x28_ss195,ammo-5.7x28-ss195,ammo-5.7x28-ss195_descr,0.10,15,500,,,0.18,,,1,0.74,66%,100%,30%,150%,100%,40%,0.74,0.18,0.3
ammo_50_bmg,ammo-50-bmg,ammo-50-bmg_descr,0.33,15,3800,,,,,1.9,1,1.5,90%,100%,5%,100%,190%,40%,1.5,1.9,0.05
ammo_7.62x25_p,ammo-7.62x25-p,ammo-7.62x25-p_descr,0.17,16,200,,,0.17,,,1,0.62,70%,100%,50%,187%,70%,40%,0.62,0.17,0.5
ammo_7.62x25_ps,ammo-7.62x25-ps,ammo-7.62x25-ps_descr,0.17,16,500,,,,0.28,,1,0.85,68%,100%,50%,187%,50%,40%,0.85,0.28,0.5
ammo_7.62x39_ap,ammo-7.62x39_ap,ammo-7.62x39_ap_descr,0.24,15,2000,,,,,0.61,1,1.1,75%,100%,30%,120%,60%,40%,1.1,0.61,0.3
ammo_7.62x39_fmj,ammo-7.62x39_fmj,ammo-7.62x39_fmj_descr,0.24,15,1000,,,,0.3,,1,1.1,75%,100%,30%,120%,66%,40%,1.1,0.3,0.3
ammo_7.62x51_ap,ammo-7.62x51_ap,ammo-7.62x51_ap_descr,0.38,15,2000,,,,,0.61,1,1,50%,100%,10%,150%,50%,40%,1,0.61,0.1
ammo_7.62x51_fmj,ammo-7.62x51_fmj,ammo-7.62x51_fmj_descr,0.38,15,1000,,,,0.3,,1,1,50%,100%,10%,150%,66%,40%,1,0.3,0.1
ammo_7.62x54_7h1,ammo-7.62x54-7n1,ammo-7.62x54-7n1_descr,0.22,10,1500,,,,0.3,,1,1.18,66%,100%,5%,150%,150%,40%,1.18,0.3,0.05
ammo_7.62x54_7h14,ammo-7.62x54_7n14,ammo-7.62x54_7n14_descr,0.22,10,1900,,,,0.45,,1,1.18,66%,100%,5%,150%,150%,40%,1.18,0.45,0.05
ammo_7.62x54_ap,ammo-7.62x54-ap,ammo-7.62x54-ap_descr,0.33,15,3200,,,,,0.65,1,1.18,90%,100%,5%,150%,150%,40%,1.18,0.65,0.05
ammo_7.92x33_ap,ammo-7.92x33_ap,ammo-7.92x33_ap_descr,0.37,15,1800,,,,0.45,,1,1,85%,100%,25%,150%,150%,40%,1,0.45,0.25
ammo_7.92x33_fmj,ammo-7.92x33_fmj,ammo-7.92x33_fmj_descr,0.37,15,700,,,,0.25,,1,1,85%,100%,25%,150%,150%,40%,1,0.25,0.25
ammo_9x18_ap,ammo-9x18-ap,ammo-9x18-ap_descr,0.17,15,750,,,,0.31,,1,0.64,66%,100%,80%,187%,55%,40%,0.64,0.31,0.8
ammo_9x18_fmj,ammo-9x18-fmj,ammo-9x18-fmj_descr,0.16,15,300,,,0.17,,,1,0.64,66%,100%,80%,187%,60%,40%,0.64,0.17,0.8
ammo_9x18_pmm,ammo-9x18-pmm,ammo-9x18-pmm_descr,0.15,15,500,,,0.1,,,1,1.05,66%,100%,80%,187%,70%,40%,1.05,0.1,0.8
ammo_9x19_ap,ammo-9x19-ap,ammo-9x19-ap_descr,0.14,15,850,,,,0.38,,1,0.67,66%,100%,75%,187%,36%,40%,0.67,0.38,0.75
ammo_9x19_fmj,ammo-9x19-fmj,ammo-9x19-fmj_descr,0.18,15,400,,,0.19,,,1,0.67,66%,100%,75%,187%,44%,40%,0.67,0.19,0.75
ammo_9x19_pbp,ammo-9x19-pbp,ammo-9x19-pbp_descr,0.17,15,600,,,0.1,,,1,1.25,66%,100%,75%,187%,100%,40%,1.25,0.1,0.75
ammo_9x21_sp10,ammo_9x21_sp10,ammo_9x21_sp10_descr,0.24,14,800,,,,0.38,,1,1.1,66%,100%,80%,125%,80%,110%,1.1,0.38,0.8
ammo_9x39_ap,ammo-9x39-ap,ammo-9x39-ap_descr,0.36,15,1950,,,,,0.5,1,1.3,66%,100%,40%,100%,50%,40%,1.3,0.5,0.4
ammo_9x39_pab9,ammo-9x39-pab9,ammo-9x39-pab9_descr,0.37,15,1150,,,,0.27,,1,1.3,50%,100%,40%,100%,55%,40%,1.3,0.27,0.4
ammo_gauss,ammo-gauss,ammo-gauss_descr,0.60,8,5500,,,,,5,1,2.5,66%,100%,1%,100%,100%,40%,2.5,5,0.01
ammo_gauss_cardan,ammo-gauss_cardan,ammo-gauss_cardan_descr,0.60,6,8399,,,,,5,1,2.5,66%,100%,1%,100%,100%,40%,2.5,5,0.01
